Training type,Source,Resource,Link,Research Phase,Broad skill,Skill bite,Red skill,Tool,Status,Notes
Census,Video,Introduction to census,"https://www.youtube.com/watch?v=_PbKScK6qfo, https://ukdataservice.ac.uk//app/uploads/censuswebinar17nov2016.pdf",Get data,Downloading UKDS data ,Access conditions and why they exist  ,,,,
Census,Video,2021 Census,"https://www.youtube.com/watch?v=AeieUN6BsxQ&ab_channel=UKDATASERVICE, https://ukdataservice.ac.uk//app/uploads/censusupdate6mar20.pdf",Get data,Awareness of future census data and when it’ll become available ,,,,,
Census,Website,External resources - census ,https://ukdataservice.ac.uk/learning-hub/census/use-of-census-data/external-resources-census/,Get data,Downloading census data,Awareness of external resources,,,,
Census,Website,FAQs about how to get data and our access policy,https://ukdataservice.ac.uk/help/access-policy/frequently-asked-questions-faqs-about-how-to-get-data-and-our-access-policy/,Get data,Downloading UKDS data ,Access conditions and why they exist  ,,,,
Census,Event ,Online tools for accessing and analysing census data from the UK Data Service,https://ukdataservice.ac.uk/events/online-workshops-online-tools-for-accessing-and-analysing-census-data-from-the-uk-data-service-census-aggregate-data-flow-data-and-microdata/,Get data,How to find and download census data,Aggregate data tools,,InFuse,,
Census,Event ,Online tools for accessing and analysing census data from the UK Data Service,https://ukdataservice.ac.uk/events/online-workshops-online-tools-for-accessing-and-analysing-census-data-from-the-uk-data-service-census-aggregate-data-flow-data-and-microdata/,Get data,How to find and download census data,Aggregate data tools,,DKAN,,
Census,Event ,Online tools for accessing and analysing census data from the UK Data Service,https://ukdataservice.ac.uk/events/online-workshops-online-tools-for-accessing-and-analysing-census-data-from-the-uk-data-service-census-aggregate-data-flow-data-and-microdata/,Get data,How to find and download census data,Aggregate data tools,,Casweb,,
Census,Event ,Online tools for accessing and analysing census data from the UK Data Service,https://ukdataservice.ac.uk/events/online-workshops-online-tools-for-accessing-and-analysing-census-data-from-the-uk-data-service-census-aggregate-data-flow-data-and-microdata/,Get data,How to find and download census data,Aggregate data,,,,
Census,Video,Census 2018,https://www.youtube.com/watch?v=QQXtdSUWBjU&ab_channel=UKDATASERVICE,Get data,Understand key features of census data,How to find dataset,,,,
Census,Video,Census 2018,https://www.youtube.com/watch?v=QQXtdSUWBjU&ab_channel=UKDATASERVICE,Get data,Understand key features of census data,Access conditions and why they exist  ,,,,
Census,Video,Census 2018,https://www.youtube.com/watch?v=QQXtdSUWBjU&ab_channel=UKDATASERVICE,Get data,Understand key features of census data ,How to find dataset,,,,
Census,Video,Census 2018,https://www.youtube.com/watch?v=QQXtdSUWBjU&ab_channel=UKDATASERVICE,Get data,Understand key features of census data ,Access conditions and why they exist  ,,,,
Census,Video,Census 2018,https://www.youtube.com/watch?v=QQXtdSUWBjU&ab_channel=UKDATASERVICE,Get data,Understand key features of census data,Basics,,,,
